Fund,Amc,Product,Aum,Returns 1 Yr,Returns 3 Yr,Returns 5 Yr,Returns 3 Months,Asset Class,Classification Name,Sharpe Ratio 1 Yr,Sharpe Ratio 3 Yr,Sortino 1 Yr,Sortino 3 Yr,Max Drawdown Perc 1yr,Max Drawdown Duration Days 1yr,Max Drawdown Duration Days 3yr,Max Drawdown Perc 3yr,Max Drawdown Time To Recovery Days 1yr,Max Drawdown Time To Recovery Days 3yr,Expense Ratio,Fund Manager,Inception Date,Pb Ratio,Pe Ratio,Returns Since Inception,Std 1 Yr,Std 3 Yr,Treynor Ratio 1 Yr,Treynor Ratio 3 Yr,Alpha 1 Yr,Alpha 3 Yr,Benchmark Name,Beta 1 Yr,Beta 3 Yr,Scheme Rolling Min 1 Yr,Scheme Rolling Negative 1 Yr,Scheme Rolling Negative 3 Yr,Scheme Rolling Negative 5 Yr,Scheme Rolling Neutral 1 Yr,Scheme Rolling Neutral 3 Yr,Scheme Rolling Neutral 5 Yr,Scheme Rolling Positive 1 Yr,Scheme Rolling Positive 3 Yr,Scheme Rolling Positive 5 Yr
Stallion Asset - Core Fund,Stallion Asset,PMS,6486.04,6,37.81,32.45,4.66,Equity,Equity: Multi Cap,0.1,1.72,0.09,1.82,-22.23,76,76,-22.23,227,227,,Amit Jeswani,22-Oct-18,9.06,58.58,29.72,18.89,16.4,1.86,34.09,1.39,19.66,S&P BSE 500 Total Return Index,1.03,0.83,-16.02,13.71,0,0,1.5,0,0,84.79,100,100
Axis - Brand Equity PMS,Axis Asset Management Company Ltd,PMS,992.17,-2.84,12.01,16.11,0.02,Equity,Equity: Multi Cap,-0.45,0.48,-0.63,0.76,-19.45,83,169,-24.92,,,,Hitesh Zaveri,27-Jan-17,3.61,28.55,11.14,16.24,14,-6.19,6.64,-10.05,-1.49,NIFTY 50 Total Return Index,1.18,1.01,-21.58,24.09,2.23,0,8.22,0.95,0,67.69,96.82,100
Sundaram Alternate - SISOP,Sundaram Alternate Assets Ltd,PMS,1393.8,18.7,19.98,21.85,10.84,Equity,Equity: Multi Cap,0.72,0.9,1.53,1.56,-18.24,95,95,-18.24,60,60,,Madanagopal Ramu,22-Feb-10,7.93,59.73,18.29,18.42,15.4,12.42,15.11,12.64,4.4,S&P BSE 500 Total Return Index,1.06,0.92,-23.63,17.46,1.23,0.92,3.17,0.3,0.23,79.37,98.47,98.85
Sundaram Alternate - SELF,Sundaram Alternate Assets Ltd,PMS,827.29,12.97,17.12,21.51,10.88,Equity,Equity: Mid Cap,0.42,0.7,0.61,1.19,-19.5,82,82,-19.5,115,115,,Madanagopal Ramu,29-Jun-10,4.8,61.51,17.52,20.8,16.47,6.5,11.23,7.97,0.95,S&P BSE 500 Total Return Index,1.33,1.03,-24,16.42,2.08,0,4.14,0.07,0.03,79.44,97.85,99.97
Kunvarji Finstock - MMM,Kunvarji Finstock Pvt Ltd,PMS,2.21,4.23,16.32,,5.86,Equity,Equity: Multi Cap,-0.27,0.65,-0.25,0.68,,,,,,,,Ravi Diyora,16-Sep-19,5.33,34.42,16.21,10.89,19.26,,,-2.99,2.39,S&P BSE 500 Index,0.15,0.73,-8.71,13.84,0,,2.98,0,,83.17,100,
Alchemy - High Growth,Alchemy Capital Management Pvt Ltd,PMS,741.26,2.8,14.6,17.9,1.1,Equity,Equity: Multi Cap,0.02,0.5,0.03,0.7,-29.07,111,270,-36.22,,,,Alok Agarwal,8-May-02,5.44,36.51,20.3,26.78,20.35,0.36,7.8,-0.26,-3.27,S&P BSE 500 Total Return Index,1.69,1.3,-58.33,25.48,8.37,0.15,3.12,1.02,0.13,71.4,90.62,99.72
Alchemy - High Growth Select Stock,Alchemy Capital Management Pvt Ltd,PMS,4606.51,7.2,21.3,25.7,3.2,Equity,Equity: Multi Cap,0.17,0.91,0.19,1.04,-24.55,112,112,-24.55,,,,Hiren Ved,19-Dec-08,9.29,81.35,20.2,22.27,16.64,3.03,14.5,3.19,4.39,S&P BSE 500 Total Return Index,1.27,1.05,-33.84,13.91,4.22,0,3.64,0.3,0,82.45,95.48,100
Alchemy - Ascent,Alchemy Capital Management Pvt Ltd,PMS,332.21,-20.56,11.16,19.74,1.12,Equity,Equity: Multi Cap,-1.28,0.35,-1.41,0.48,-27.31,112,173,-32,,,,"Alok Agarwal, Deven Ved",3-Sep-19,7.28,44.44,14.02,20.49,19.48,-23.31,5.49,-26.88,-6.04,S&P BSE 500 Total Return Index,1.13,1.25,-29.39,37.59,0,0,1.27,0,0,61.13,100,100
AlfAccurate Advisors - AAA Focus Plan,AlfAccurate Advisors,PMS,12.06,2.2,13.44,18.3,1.11,Equity,Equity: Multi Cap,-0.18,0.63,-0.28,1.08,-15.03,75,152,-16.92,,,,Rajesh Kothari,17-Nov-14,7.8,42.01,14.2,14,12.82,-2.77,8.85,-3.03,-1.33,S&P BSE 500 Total Return Index,0.92,0.91,-24.07,15.86,1.2,0,3.41,0.58,0,80.73,98.21,100
First Global - Indian Multi Asset Allocation,First Global Finance Pvt Ltd,PMS,16.82,0.39,13.5,15.27,3.13,Equity,Multi Asset,-0.37,0.71,-0.49,1.06,-14.16,114,152,-16.96,230,,,"Devina Mehra, Achin Agarwal, Kavita Thomas, Alok Kumar",10-Feb-20,,22.59,15.08,12.44,10.47,-2.57,6.49,-14.92,-1.9,NSE Multi Asset Index 1,1.76,1.14,-6.7,15.59,0,0,8.92,0,0,75.49,100,100
Nine Rivers Capital - Aurum Small Cap Opportunities,Nine Rivers Capital,PMS,738.57,-2.7,20.3,28.5,-1,Equity,Equity: Small Cap,-0.22,0.74,-0.28,1.18,-22.5,29,152,-25.34,,,,"Sandeep Daga, Vivek Ganguly",31-Dec-12,,,26.14,24.84,20.38,-3.92,14.37,-6.15,4.23,S&P BSE 500 Total Return Index,1.39,1.04,-47.54,24.66,16.09,4.26,2.8,0,0,72.54,83.91,95.74
Emkay Investments - L.E.A.D,Emkay Investments,PMS,,22.9,7,8.8,-1.9,Equity,Equity: Large & Mid Cap,1.26,-0.02,3.91,-0.04,,,,,,,,Kashyap Jhaveri,17-Dec-18,5.8,35.42,9.2,10.65,13.11,17.23,-0.28,-1.53,-7.56,S&P BSE 500 Total Return Index,0.78,0.9,-11.88,25.5,0,0,7.86,0,0,66.65,100,100
Girik Capital - Multi Cap Growth Equity Strategy,Girik Capital,PMS,1656.48,0.45,22.41,22.82,2.07,Equity,Equity: Multi Cap,-0.37,1.09,-0.45,2.01,-14.61,82,161,-18.65,,,,"Charandeep Singh, Varun Daga",3-Dec-09,5.23,38.76,20.07,12.23,14.44,-5.4,16.34,-6.44,7.93,NIFTY 50 Total Return Index,0.83,0.96,-27.94,20.07,0,0,2.74,0.15,0,77.2,99.85,100
Marcellus - Consistent Compounders,Marcellus Investment Managers,PMS,2410.44,-2.48,6.4,10.95,1.57,Equity,Equity: Large Cap,-0.46,0.11,-0.83,0.21,-15.2,117,155,-19.98,118,,,Rakshit Ranjan,1-Dec-18,,,13.37,15.32,14.19,-5.98,1.48,-9.86,-6.98,NIFTY 50 Total Return Index,1.18,1.05,-15.44,18.96,0,0,3.65,0,0,77.38,100,100
Marcellus - Little Champs,Marcellus Investment Managers,PMS,180.24,-2.27,-1.92,9.5,-3.37,Equity,Equity: Mid Cap,-0.42,-0.39,-0.58,-0.67,-17.67,82,142,-21.05,,,,Ashvin Shetty - CFA,29-Aug-19,,32,12.71,16.05,16.2,-7.08,-7.42,-7.24,-15.09,S&P BSE 500 Total Return Index,0.95,0.85,-19.63,34.37,34.02,0,8.46,4.48,0,57.17,61.5,100
First Global - The India Super 50,First Global Finance Pvt Ltd,PMS,280.7,-5.54,13.03,18.53,1.17,Equity,Equity: Multi Cap,-0.62,0.54,-0.78,0.8,-19.53,114,165,-23.4,,,,"Devina Mehra, Achin Agarwal, Kavita Thomas, Alok Kumar",11-Feb-20,,22.59,19.68,16.37,13.96,-9.19,7.73,-10.63,-2.53,S&P BSE 500 Total Return Index,1.1,0.98,-13.87,27.01,0,0,4.99,0,0,68,100,100
ICICI Prudential - Pipe Portfolio,ICICI Prudential AMC Ltd,PMS,7193.83,3.08,27.32,33.33,6.04,Equity,Equity: Mid & Small Cap,-0.04,1.26,-0.04,1.57,-22.83,83,83,-22.83,,,,"Anand Shah, Chockalingam Narayanan",5-Sep-19,2.96,25.18,27.43,19.54,15.9,-0.65,20.09,-1.44,9.72,S&P BSE 500 Total Return Index,1.24,0.99,-3.92,2.87,0,0,2.6,0,0,94.53,100,100
ICICI Prudential - Value Portfolio,ICICI Prudential AMC Ltd,PMS,1001.6,5.98,28.49,29.86,7.14,Equity,Equity: Multi Cap,0.08,1.37,0.11,2.55,-17.08,81,155,-20.08,200,243,,Chockalingam Narayanan,28-Jan-04,2.78,22.08,13.33,14.81,15.12,1.18,20.27,0.67,10.21,S&P BSE 500 Total Return Index,1,1.03,-68.15,29.32,22.35,11.4,3.6,1.4,0.04,67.08,76.24,88.56
Vedartha Neo Equity Portfolio,Bandhan Asset Management Company,PMS,30.83,-5.77,13.69,15.04,3.72,Equity,Equity: Large & Mid Cap,,,,,,,,,,,,Bhupendra Meel,11-Jul-17,,,9.23,,,,,,,NIFTY 50 Total Return Index,,,,,,,,,,,,
NJ - Bluechip,NJ Asset Management Pvt Ltd.,PMS,1815.24,0.47,13.12,16.75,-1.12,Equity,Equity: Multi Cap,-0.18,0.52,-0.25,0.73,-19.72,74,149,-21.6,122,,,NJ Asset Management Pvt Ltd,12-Mar-18,,,13.69,19.41,15.1,-2.61,7.47,-6.48,-0.69,NIFTY 50 Total Return Index,1.31,1.06,-22.39,24.98,0,0,4.82,0,0,70.2,100,100
NJ - Dynamic Stock Allocation Portfolio Aggressive,NJ Asset Management Pvt Ltd.,PMS,817.09,11.68,10.68,6.71,7.29,Equity,Equity: Multi Cap,,,,,,,,,,,,NJ Asset Management Pvt Ltd,2-Apr-16,10.29,34.82,8.05,,,,,,,NIFTY 50 Hybrid Composite debt 50:50 Index,,,-12.21,29.02,0.13,0,5.66,0.26,0,65.32,99.61,100
NJ - Multicap,NJ Asset Management Pvt Ltd.,PMS,723.27,-5.53,22.43,25.93,2.54,Equity,Equity: Multi Cap,-0.31,0.85,-0.41,1.05,-29.38,74,152,-30.97,,,,NJ Asset Management Pvt Ltd,2-Apr-16,,,14.95,25.91,19.65,-4.46,12.8,-12.41,6.11,NIFTY 50 Total Return Index,1.82,1.3,-36.04,33.08,20.79,0,2.46,2.54,0,64.47,76.67,100
PGIM India - Core Equity Portfolio,PGIM India Asset Management Pvt Ltd,PMS,128.71,-4.45,10.62,19.09,-2.38,Equity,Equity: Multi Cap,-0.54,0.41,-0.8,0.63,-16.19,79,158,-19.54,,,,Surjitt Singh Arora,8-Jul-13,6.36,33.42,14.58,16.34,13.2,-7.47,6.08,-11.68,-1.8,NIFTY 50 Total Return Index,1.19,0.89,-28.89,15.67,4.76,0.49,4.62,1.23,0.15,79.7,94.01,99.36
Spark - Flexicap,Spark Asia Impact Managers Private Limited(Formerly Spark Fund Managers Private Limited),PMS,464.38,2.66,18.39,21.91,1.76,Equity,Equity: Flexi Cap,-0.17,0.93,-0.46,2.46,,,,,,,,P Krishnan,7-Feb-19,,,17.16,13.12,13.18,-2.14,12.87,-4.69,4.5,NIFTY 50 Total Return Index,1.04,0.95,,,,,,,,,,
Systamatix - Dynamic Investment,Systematix Group,PMS,135.04,6.14,24.31,24.71,1.3,Equity,Equity: Multi Cap,0.11,1.02,0.2,1.71,,,,,,,,"Systematix Group, Rajeev Bajaj",1-Apr-18,,,,21.28,18.22,1.8,16.61,1.74,7.07,S&P BSE 500 Total Return Index,1.35,1.12,,,,,,,,,,
TCG AMC - Multicap Fund,TCG Advisory Service Pvt Ltd,PMS,,-2.34,12.07,17.33,-9.4,Equity,Equity: Multi Cap,-0.58,0.37,-1.06,0.85,,,,,,,,Shahzad Madon,24-Oct-18,,,14.68,13.98,16.36,-8.5,5.92,-11.36,-1.72,S&P BSE 500 Total Return Index,0.96,1.03,-30.87,24.18,0,0,2.85,0,0,72.96,100,100
Valentis Advisors - Multicap Fund,Valentis Advisors Pvt Ltd,PMS,366.93,-9.14,15.09,21.94,1.3,Equity,Equity: Multi Cap,-0.74,0.59,-1.02,1.03,,,,,,,,Jyotivardhan Jaipuria,8-Oct-18,,,18.65,18.36,16.61,-11.2,9.33,-14.24,-1.04,S&P BSE 500 Total Return Index,1.22,1.05,,,,,,,,,,
Geojit - Dakshin Portfolio,Geojit Financial Services Ltd,PMS,48.19,-11.81,10.01,15.05,-1.71,Equity,Equity: Multi Cap,-0.86,0.29,-1,0.41,-24.94,88,161,-29.1,,,,PAWAN BANSHI PARAKH,20-Mar-19,,,11.49,19.64,16.8,-14.01,4.62,-17.42,-5.99,S&P BSE 500 Total Return Index,1.2,1.05,-38.34,27.96,0,0,4.24,0,0,67.8,100,100
Carnelian Capital - Shift Strategy,Carnelian Asset Management & Advisors Private Limited,PMS,4726.28,0.57,30.61,,0.29,Equity,Equity: Mid & Small Cap,-0.11,1.2,-0.15,1.91,-21.05,60,60,-21.05,,,,Manoj Bahety,6-Oct-20,5.3,34.1,35.52,22.91,19.57,-1.82,20.54,-3.17,11.68,S&P BSE 500 Total Return Index,1.36,1.14,-7.04,10.42,0,0,2.89,0,0,86.68,100,100
Right Horizon - Perennial,Right Horizons Pvt Ltd,PMS,33.3,-7.29,18.86,,8.52,Equity,Equity: Multi Cap,-0.44,0.72,-0.43,0.8,-30.38,76,76,-30.38,,,,Satwik Jain,1-Apr-21,5.05,56.1,15.73,23.82,19,-8.93,13.6,-11,3.31,S&P BSE 500 Total Return Index,1.16,1,-35.1,33.05,0,,3.89,0,,63.05,100,
Wealth Managers - Focused Leadership Portfolio,Wealth Managers (India) Private Limited,PMS,133.12,12.82,14.1,18.95,5.27,Equity,Equity: Multi Cap,0.48,0.67,0.93,1.23,-17.1,82,82,-17.1,115,115,,Mayur Parkeria,15-Jun-15,4.89,37.98,13.89,15.75,12.47,7.04,9.77,5.06,1.41,NIFTY 50 Total Return Index,1.08,0.85,-32.63,23.75,6.6,0,3.38,0.82,0,72.86,92.58,100
Reliance - Alpha Growth,Reliance Wealth Management Limited,PMS,32.3,11.92,25.28,13.28,1.07,Equity,Equity: Multi Cap,0.43,1.14,2.28,3.06,,,,,,,,"Mr. Varun Bang, Vikas Rajpal",22-Jan-08,4.17,27.84,16.33,11.56,14.85,5.34,18.29,2.24,3.75,S&P BSE 500 Total Return Index,0.94,0.92,-42.29,25.2,11.91,4.09,2.19,0.3,0.64,72.61,87.79,95.28
Reliance - Alpha Large Cap,Reliance Wealth Management Limited,PMS,0.66,8.2,21.82,12.01,-0.41,Equity,Equity: Large Cap,0.14,0.93,0.43,2.42,,,,,,,,"Mr. Varun Bang, Vikas Rajpal",28-Apr-14,4.1,26.77,12.61,12.43,15,1.63,14.2,-1.4,-0.03,S&P BSE 500 Total Return Index,1.06,0.99,-33.51,26.83,13.62,1.39,3.54,0.08,0.55,69.64,86.3,98.06
Reliance - Mint,Reliance Wealth Management Limited,PMS,3.01,15.05,26.97,17.73,0.89,Equity,Equity: Mid Cap,0.61,1.09,2.88,2.08,,,,,,,,"Mr. Varun Bang, Vikas Rajpal",23-Jun-14,4.55,28.31,18.25,12.82,17.06,7.81,18.83,4.86,4.53,S&P BSE 500 Total Return Index,1,0.98,-33.07,26.27,11.92,0,2.92,1.08,0.13,70.82,87,99.87
ASK - FOP,ASK Investment Managers,PMS,204.83,16.17,13.69,17,6.63,Equity,Sectoral,0.57,0.54,1.27,1.19,-14.61,77,77,-14.61,51,51,,Bhavesh Kanani,26-Jun-18,3.32,30.33,9.71,19.67,15.54,8.12,8.42,7.99,0.3,NIFTY 50 Total Return Index,1.38,1,-33.53,27.59,0,0,4.61,0,0,67.8,100,100
Turtle Wealth -Growth Mantra,Turtle Wealth Management Pvt Ltd,PMS,108.9,-19.46,11.93,,6.75,Equity,Equity: Flexi Cap,-1.42,0.43,-2.08,0.71,-30.22,215,230,-30.82,,,,Rohan Mehta,18-Oct-20,3.52,23.66,12.73,17.87,16.96,-25.37,7.11,-18.91,-4.02,S&P BSE 500 Total Return Index,1,1.02,-29.03,38.39,0,,0.87,0.15,,60.74,99.85,
OAKS - ABC Equity Portfolio,OAKS Asset Management,PMS,152.01,1.13,17.02,,3.52,Equity,Equity: Flexi Cap,-0.24,0.78,-0.37,1.27,-17.12,81,211,-21.42,,,,Debashish Bose,28-Jan-21,3.41,24.1,17.61,15.93,14.22,-3.11,11.3,-6.81,3.12,NIFTY 50 Total Return Index,1.25,0.98,-14.36,19.3,0,,0.51,0,,80.19,100,
Green Portfolio - Super 30 Dynamic,Green Portfolio Pvt Ltd,PMS,225.32,-5.19,26.52,41.79,3.93,Equity,Thematic,-0.32,0.94,-0.31,1.18,-29.43,77,77,-29.43,,,,Divam Sharma,30-Sep-19,5.3,88.34,28.31,24.88,22.98,-6.32,20.27,-8.62,10.61,S&P BSE 500 Total Return Index,1.26,1.06,-20.33,11.51,0,0,3.23,0,0,85.26,100,100
White Whale - North Star Portfolio,White Whale Partners LLP,PMS,67.21,14.44,11.1,,4.3,Equity,Equity: Multi Cap,0.62,0.46,0.97,0.87,-12.71,82,113,-15.11,51,162,,Hardik Doshi,11-Nov-20,5.28,41.82,14.25,14.21,12.45,9.14,6.65,6.58,-1.26,NIFTY 50 Total Return Index,0.97,0.86,-8.4,9.92,0,,8.41,0,,81.67,100,
Purnartha Pratham Strategy,Purnartha Investment Advisers Pvt Ltd.,PMS,1721.85,-4.73,12.06,13.79,-0.13,Equity,Equity: Multi Cap,-0.54,0.45,-0.87,0.72,-13.78,29,121,-20.29,122,,,Mr. Rahul Rathi,17-Sep-20,6.81,39.72,11.52,16.97,15.57,-8.78,6.84,-9.69,-3.53,S&P BSE 500 Total Return Index,1.04,1.02,-14.82,25.83,0,0,3.85,0,0,70.32,100,100
Purnartha Vision Strategy,Purnartha Investment Advisers Pvt Ltd.,PMS,217.53,-4.23,12.34,,0.37,Equity,Equity: Multi Cap,-0.51,0.5,-0.8,0.77,-13.91,29,121,-18.32,,,,Mr. Rahul Rathi,3-Mar-21,7.24,43.56,10.66,16.89,14.11,-8.48,7.81,-9.17,-2.24,S&P BSE 500 Total Return Index,1.02,0.9,-12.71,28.08,0,,2.61,0,,69.31,100,
Counter Cyclical - Diversified Long Term Value,Counter Cyclical Investments Pvt Ltd,PMS,805.07,-2.6,28.69,52.53,-2.77,Equity,Equity: Small Cap,-0.32,1.11,-0.45,1.8,-23.1,112,112,-23.1,,,,Gunit Singh Narang,3-Jul-19,1.81,16.96,49.83,20.08,19.57,-6.08,22.65,-6.94,11.83,S&P BSE 500 Total Return Index,1.05,0.96,-13.91,5.24,0,0,0.62,0,0,94.15,100,100
Varanium - Emerging Leader Fund,Varanium Capital Advisors Pvt Ltd,PMS,2.52,6.94,,,6.92,Equity,Equity: Mid & Small Cap,-0.15,,-0.32,,,,,,,,,"Hemang Dagli, T S Anantakrishnan",27-Aug-20,5.02,34.67,21.31,15.84,,-2.52,16.23,-12.17,,S&P BSE 500 Total Return Index,1.04,,-9.08,51.79,,,0.31,,,47.9,,
NJ - Dynamic ETF Allocation Portfolio Conservative,NJ Asset Management Pvt Ltd.,PMS,0.28,3.84,,,0.04,Debt,Other: ETFs,,,,,,,,,,,,NJ Asset Management Pvt Ltd,22-Jan-21,225.12,0,4.5,,,,,,,NIFTY 50 Hybrid Short Duration Debt 25:75 Index,,,1.86,0,,,0,,,100,,
Ambit Investment Advisors - TenX,Ambit Investment Advisors  Limited,PMS,110.31,-21.09,6.34,,-7.68,Equity,Equity: Mid & Small Cap,-1.3,0.14,-1.9,0.22,-25.26,121,121,-25.26,,,,Investment Committee.,13-Dec-21,5.67,36.94,6.29,19.78,16.49,-23.29,2.45,-14.39,-7.29,S&P BSE 500 Total Return Index,1.11,0.95,-21.12,18.08,0,,8.7,0,,73.22,100,
Invesco - Challengers,Invesco Asset Management (I) Pvt Ltd,PMS,30.76,0.24,18.67,,0.13,Equity,Equity: Flexi Cap,-0.21,0.83,-0.23,1.07,-21.25,87,87,-21.25,,,,Neelesh Dhamnaskar,30-Sep-21,8.36,59.64,13.72,18.08,15.36,-3.73,13.87,-4.37,3.28,S&P BSE 500 Total Return Index,1.03,0.92,-10.37,19.06,0,,3.72,0,,77.22,100,
Motilal Oswal - Ethical,Motilal Oswal Asset Management,PMS,74.49,-4.78,16.71,,3.6,Equity,Equity: Multi Cap,-0.46,0.7,-0.45,0.82,-25.67,117,274,-27.15,,,,Vaibhav Agrawal,8-Jun-21,7.42,60.89,13.37,19.34,16.01,-7.96,11.03,-9.54,0.73,S&P BSE 500 Total Return Index,1.13,1.02,-15.8,42.75,0,,3.54,0,,53.7,100,
ithought - Solitaire,ithought Financial Consulting LLP,PMS,625.53,33.76,32.29,,21.52,Equity,Equity: Multi Cap,1.24,1.41,5.87,4.13,,,,,,,,Shyam Sekhar,30-Aug-19,0,0,24.91,19.68,16.27,25.42,27.85,14.63,8.9,S&P BSE 500 Total Return Index,0.96,0.82,-6.24,2.91,0,,0.09,0,,97,100,
ithought - VRDDHI,ithought Financial Consulting LLP,PMS,152,15.67,,,10.85,Equity,Equity: Small Cap,0.1,,0.22,,,,,,,,,Shyam Sekhar,7-May-21,0,0,22.36,12.41,,2.26,26.37,-5,,S&P BSE 500 Total Return Index,0.69,,-6.67,17.93,,,0,,,82.07,,
Tamohara - Q Strategy,Tamohara Investment Managers,PMS,11.02,-4.54,9.68,,1.9,Equity,Equity: Multi Cap,-0.57,0.34,-0.84,0.47,-18.83,114,152,-24.88,,,,"Harini Dedhia, Sheetal Malpani",10-Jun-22,7.41,37.08,11.57,15.8,14,-7.27,4.45,-11.86,-3.9,NIFTY 50 Total Return Index,1.23,1.06,-16.23,27.66,0,,2.4,0,,69.94,100,
Molecule Ventures - Growth,Molecule Ventures LLP,PMS,648.31,-3.53,30.88,,-5.52,Equity,Equity: Small Cap,-0.37,1.01,-0.77,2.08,,,,,,,,Nirav Parikh,12-Jul-21,,,30.55,21.58,22.91,-7.42,22.92,-11.69,15.4,S&P BSE 500 Total Return Index,1.08,1.01,-4.75,0.32,0,,0,0,,99.68,100,
Pace - Flexi,Pace Financial Investment Adviser Pvt Ltd,PMS,88.99,10.43,17.99,,8.2,Hybrid,Multi Asset,0.33,0.99,0.49,1.19,-15.96,114,135,-18.39,103,200,,Amit Goel,19-Dec-20,,,14.53,17.55,11.87,2.71,17.22,-6.67,6.16,NSE Multi Asset Index 1,2.11,0.68,0.16,0,0,,0.71,0,,99.29,100,
Anand Rathi Advisors - Impress PMS,Anand Rathi Advisors,PMS,765.55,0.8,21.39,26.22,-3.91,Equity,Equity: Multi Cap,-0.06,0.81,-0.1,1.13,-23.05,74,74,-23.05,,,,Mayur Shah,31-May-17,5.54,41.08,14.83,27.06,19.43,-1.01,14.47,-2.34,4.51,S&P BSE 500 Total Return Index,1.54,1.08,-33.03,28.4,6.21,0,4.65,1.31,0,66.95,92.48,100
Joindre Capital Services - Value Fund,Joindre Capital Services,PMS,61.86,-2.77,11.9,14.5,-0.09,Equity,Equity: Multi Cap,-0.4,0.46,-0.6,0.71,-20.56,82,161,-21.33,,,,V. JAYARAM,5-Nov-18,5.77,38.19,13.1,17.48,14.39,-6.3,6.86,-7.6,-3.36,S&P BSE 500 Total Return Index,1.12,0.97,-20.25,25.41,0,0,2.61,0,0,71.98,100,100
Aditya Birla Sun Life (ABSL) - India Special Opportunities (ISOP),Aditya Birla Sun Life AMC Ltd. PMS,PMS,1352.31,-3.2,14.9,21.5,1.5,Equity,Equity: Multi Cap,-0.48,0.67,-0.74,0.98,-15.59,74,155,-20.71,,,,"Sameer Narayan, Salvin Shah",14-Jun-18,4.41,28.29,15.9,16.31,13.79,-7.13,9.34,-8.43,-0.96,S&P BSE 500 Total Return Index,1.1,0.99,-22.02,13.42,0,0,4.03,0,0,82.55,100,100
ASK - Growth,ASK Investment Managers,PMS,1067.29,-1.73,8.26,14.83,3.02,Equity,Equity: Multi Cap,-0.28,0.23,-0.36,0.29,-21.4,79,152,-23.37,,,,"Chetan Thacker, Sandip Bansal",29-Jan-01,3.97,30.5,17.94,19.71,15.17,-4.22,3.39,-6.2,-7.11,S&P BSE 500 Total Return Index,1.31,1.03,-59.01,20.65,3.94,1.27,2.27,0.42,0.17,77.08,95.65,98.56
Emkay Investments - Capital Builder,Emkay Investments,PMS,,9.8,21,24.1,4.3,Equity,Equity: Multi Cap,0.35,1.25,0.48,2.03,-12.78,60,121,-13.03,122,122,,Sachin Shah,1-Apr-13,,,17.1,13.32,11.61,5.9,18.64,4.27,6.5,S&P BSE 500 Total Return Index,0.79,0.78,-31.07,14.47,7.03,1.02,3,0,0.07,82.54,92.97,98.91
MRG Capital - Wealth Enhancer,MRG Capital,PMS,47.57,9.1,17.61,15.87,3.91,Equity,Equity: Multi Cap,0.3,0.95,0.4,1.61,-13.6,112,193,-15.06,59,63,,Manu Rishi Guptha,24-May-19,4.24,37.28,12.58,12.83,12.1,3.93,13.12,1.56,4.36,NIFTY 50 Total Return Index,0.99,0.87,-19.04,19.82,0,0,1.06,0,0,79.12,100,100
MRG Capital - Wealth Protector,MRG Capital,PMS,1.08,1.9,13.91,16.37,0.69,Equity,Equity: Multi Cap,-0.28,0.64,-0.56,1.54,-11.83,118,196,-14.26,59,,,Manu Rishi Guptha,31-Dec-19,5.01,33.1,14.24,11.38,12.93,-3.81,9.16,-5.14,0.95,NIFTY 50 Total Return Index,0.84,0.91,-8.76,16.36,0,0,4.98,0,0,78.66,100,100
Piper Serica Advisors - Leader Portfolio,Piper Serica Advisors Pvt Ltd,PMS,273.93,1.17,17.25,18.46,-0.16,Equity,Equity: Flexi Cap,0.35,0.69,0.44,1.06,-21.29,85,152,-21.44,121,123,,Abhay Agarwal,24-Jun-19,,39,16.68,20.55,16.94,5.51,12.28,4.17,3.99,NIFTY 50 Total Return Index,1.32,0.96,-19.89,21.97,0,0,3.68,0,0,74.35,100,100
Phillip Capital - Signature India Portfolio,Phillip Capital India Pvt Ltd,PMS,263.37,0.88,10.47,16.39,1.27,Equity,Equity: Multi Cap,-0.21,0.39,-0.35,0.72,-18.84,120,193,-19.63,,,,Nishit Shah,18-May-16,8.94,55.43,12.17,16.11,12.93,-3.46,5.95,-3.96,-3.66,S&P BSE 500 Total Return Index,1,0.84,-21.98,20.88,0.81,0,4.5,0.81,0,74.62,98.39,100
Jainam Share Consultant - Bharat 5T,Jainam Share Consultant,PMS,0.37,9.16,23.38,,6.71,Equity,Equity: Multi Cap,-0.08,0.93,-0.25,2.12,,,,,,,,Tejas Jariwala,1-Jan-20,5.16,37.05,12.68,14.69,15.22,-1.3,15.02,-13.06,-5.68,NIFTY 50 Total Return Index,0.98,0.95,-12.95,24.6,0,,5.67,0,,69.73,100,
Trivantage Capital - Resurgent Financials Equity,Trivantage Capital Management,PMS,31.13,6.3,10.7,8.8,-3.6,Equity,Equity: Multi Cap,-0.01,0.3,-0.04,0.63,,,,,,,,Nikhil Johri,17-Feb-16,3.03,20.18,12.7,12.14,14.05,-0.22,4.67,-2.26,-0.62,NIFTY 50 Total Return Index,0.65,0.89,-40.19,32.96,15.19,1.2,3.72,0.19,1.55,63.32,84.62,97.25
Aditya Birla Sun Life (ABSL) - Core Equity Portfolio (CEP),Aditya Birla Sun Life AMC Ltd. PMS,PMS,224.3,4.8,11.1,20.3,3.9,Equity,Equity: Multi Cap,0,0.47,0,0.75,-15.06,78,155,-19.27,116,,,Salvin Shah ,7-Jan-09,4.52,30.04,18.8,14.08,12.32,0.01,5.94,-2.63,-2.12,NIFTY 50 Total Return Index,1.12,0.97,-30.63,23.84,10.18,1.2,4.31,1.01,0.58,71.85,88.81,98.22
